日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-09-14,训练集,0.77590625,0.72986194,0.76223620,0.11344909,0.08347518
2025-09-15,测试集,0.76172639,0.76125968,0.76453232,0.06668715,0.06273062
2025-09-16,训练集,0.77794653,0.72493133,0.72956342,0.11140617,0.08756354
2025-09-17,训练集,0.77805486,0.76849863,0.77921658,0.06785645,0.05804853
2025-09-18,训练集,0.76982569,0.76190808,0.74878429,0.06941090,0.05528369
2025-09-19,验证集,0.59325208,0.72250982,0.68244767,0.25686494,0.17537587
2025-09-20,训练集,0.58746111,0.72131227,0.68340675,0.33395242,0.22634449
2025-09-21,测试集,0.77384931,0.65455513,0.69710549,0.16593426,0.11083898
2025-09-22,训练集,0.78216597,0.72358066,0.73002569,0.11009845,0.08061873
2025-09-23,训练集,0.78175208,0.77142213,0.76510462,0.06636999,0.05871007
2025-09-24,训练集,0.77610972,0.77621078,0.77010481,0.05925767,0.05485643
2025-09-25,验证集,0.77760764,0.76493973,0.75958997,0.06005222,0.05364153
2025-09-26,训练集,0.59281389,0.71796004,0.67183578,0.28011289,0.16820543
2025-09-27,测试集,0.59968403,0.61053905,0.61943040,0.09324465,0.08826822
2025-09-28,训练集,0.78938819,0.72536495,0.73292579,0.11000233,0.08508373
2025-09-29,训练集,0.78775833,0.78612345,0.78318818,0.05564330,0.04401449
2025-09-30,训练集,0.79382431,0.78457940,0.77551932,0.06448360,0.06007763
2025-10-01,验证集,0.73815556,0.78960353,0.78112863,0.11836077,0.10420931
2025-10-02,训练集,0.74197222,0.74690528,0.74891334,0.10342794,0.06298506
2025-10-03,测试集,0.55796458,0.71133905,0.68081064,0.40421710,0.33249042
2025-10-04,训练集,0.58583056,0.72931888,0.70473201,0.33523200,0.25739607
2025-10-05,训练集,0.75256111,0.62518686,0.68427165,0.17781716,0.09935485
2025-10-06,训练集,0.76848958,0.74995088,0.75422916,0.06903401,0.05701089
2025-10-07,验证集,0.76575347,0.76193780,0.76594672,0.05985065,0.05375464
2025-10-08,训练集,0.76068542,0.73839772,0.75013738,0.09618100,0.05911974
2025-10-09,测试集,0.75780347,0.75173849,0.74799670,0.06347125,0.05666763
