日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-06-15,0.07599402,0.09489426,9.04920652%,0.23156595,0.81782708,0.74594262
2025-06-16,0.07789548,0.09419875,9.77903587%,0.00000000,0.82324167,0.74982657
2025-06-17,0.07011544,0.09244934,8.60309986%,0.13040528,0.82862639,0.76622448
2025-06-18,0.07093628,0.08643049,8.84883932%,0.00000000,0.82005000,0.75637743
2025-06-19,0.04191560,0.05365505,5.52599091%,0.17412005,0.80791042,0.77619412
2025-06-20,0.10009193,0.11632233,18.63418113%,0.19793705,0.62130694,0.71991702
2025-06-21,0.07217542,0.09087139,15.78345843%,0.16129859,0.60952569,0.67241824
2025-06-22,0.05757431,0.07369443,7.51004372%,0.00000000,0.80749167,0.76295213
2025-06-23,0.03862172,0.04917093,5.24695772%,0.18361427,0.80487222,0.78547349
2025-06-24,0.08032207,0.10105296,9.51532182%,0.00000000,0.84053472,0.76628803
2025-06-25,0.04274857,0.05788524,5.51323889%,0.14854740,0.81634653,0.79017403
2025-06-26,0.04544244,0.05658359,6.30661635%,0.18199371,0.80597431,0.78815486
2025-06-27,0.10625274,0.12628483,22.64987176%,0.19671824,0.60512014,0.71011904
2025-06-28,0.10275771,0.12179149,21.70137033%,0.00000000,0.62298889,0.72234265
2025-06-29,0.06116165,0.07636619,7.83357345%,0.16215875,0.81182708,0.75701742
2025-06-30,0.05026817,0.06246936,6.63894507%,0.00000000,0.81018819,0.77598452
2025-07-01,0.10105355,0.13815246,10.61655888%,0.20626888,0.89076181,0.79628126
2025-07-02,0.07759683,0.10011534,9.19526608%,0.24388191,0.87532153,0.81617903
2025-07-03,0.08349221,0.11161945,8.77243278%,0.33209164,0.90143611,0.82288901
2025-07-04,0.10634232,0.13608104,23.94062682%,0.00000000,0.69030833,0.73052707
2025-07-05,0.05734918,0.07018891,10.71205291%,0.31905105,0.68431875,0.70788879
2025-07-06,0.11550491,0.14874931,12.13995949%,0.00000000,0.89867083,0.78553927
2025-07-07,0.05905656,0.07893576,6.89251087%,0.30408484,0.87739028,0.83857749
2025-07-08,0.05611207,0.07070536,6.85662834%,0.36491127,0.88360347,0.85489537
2025-07-09,0.05089246,0.06562506,5.85125990%,0.39792994,0.87917708,0.84592436
2025-07-10,0.08576285,0.11654778,9.55679974%,0.00000000,0.87750764,0.80901029
2025-07-11,0.08538293,0.11059285,13.92882371%,0.39587167,0.70694653,0.78758223
2025-07-12,0.09795441,0.12082542,17.44627997%,0.00000000,0.69428194,0.77172803
2025-07-13,0.06569662,0.08097656,8.00642491%,0.39658736,0.85428750,0.80137854
2025-07-14,0.05325900,0.06678667,6.33117945%,0.37986599,0.87221528,0.83738805
2025-07-15,0.04286032,0.05632730,5.43003576%,0.39607711,0.87210833,0.86335075
2025-07-16,0.06148052,0.07573340,7.18623962%,0.00000000,0.87580208,0.83182364
2025-07-17,0.05024507,0.06408802,6.57929210%,0.39435982,0.87482083,0.85189306
2025-07-18,0.10590755,0.12254936,17.85012972%,0.00000000,0.69420278,0.79618610
2025-07-19,0.05847924,0.07257948,12.60525352%,0.39303728,0.68029931,0.71994914
2025-07-20,0.07495151,0.08878327,9.39219951%,0.42537977,0.86761250,0.79704917
2025-07-21,0.04449627,0.05588216,5.48473237%,0.39089548,0.87917917,0.85032711
2025-07-22,0.05213464,0.06769516,6.44271909%,0.00000000,0.87513333,0.84186475
2025-07-23,0.04064847,0.05130762,5.33277292%,0.49918227,0.87558403,0.85919780
2025-07-24,0.06275823,0.08088133,7.66345722%,0.00000000,0.87744583,0.83365295
2025-07-25,0.11967182,0.13856491,23.47144463%,0.47889962,0.67696875,0.79539862
2025-07-26,0.05163235,0.06513354,8.61043874%,0.44160442,0.68800903,0.72092006
2025-07-27,0.07991267,0.09586859,9.20577150%,0.46125646,0.87713125,0.80055454
2025-07-28,0.07212271,0.08941095,8.60423766%,0.00000000,0.88623681,0.82907478
